experiment,variant,target_mode,feature_mode,average_score,average_steps,time_per_step_ms,rate_1024,rate_2048,rate_4096,rate_8192,rate_16384,rate_32768,td_error_rms_final,td_error_rms_mean,normalized_td_rms_final,average_bias,average_norm_bias,norm_bias_rom,td_error_m_rms_final,td_error_m_rms_mean,model_path,train_seconds
3-D,V(s')+AfterstateNTuple,v,afterstate,18731.28,1035.79,0.07741478863723901,0.76,0.34,0.02,0.0,0.0,0.0,1651.2542841647273,2276.25504883372,0.09583906639543868,34002.04958347238,2.7654100640106725,1.9762153330810348,0.0,0.0,models/phrase_1/qlearning_runs/20260629_204850/qlearning_3d.pkl,12693.188641699031
3-E,MV(s')+AfterstateNTuple,mv,afterstate,18767.68,1043.67,0.1505628872813346,0.75,0.34,0.01,0.0,0.0,0.0,1663.0841708370012,2290.8640783192513,0.0973274687191357,34314.15678934814,3.9146731483928345,1.9341682781476248,615.177894173173,580.5250686296973,models/phrase_1/qlearning_runs/20260629_204850/qlearning_3e.pkl,25923.1488554636
